Source,Title,Link,Summary,Published,SEO_Score,cleaned,topic_cluster,sentiment_score,lexicon_score,impact_score,impact_level,operational_tag,event_flag,cluster_name
Ada Derana,Local new,http://www.adaderana.lk/news.php?nid=115706,local,"Sun, 07 Dec 2025 20:21:25 +0530",5.17,local new local,2,0.0,0.0,0.0,Neutral,general,Normal,"Sri, Lanka, Force"
Ada Derana,Kandy-Colombo road to remain open 24 hours for all vehicles from 4am tomorrow,http://www.adaderana.lk/news.php?nid=115705,"The Kandy-Colombo main road which was closed for vehicular traffic at Pahala Kadugannawa, will remain open around the clock for all vehicles from 4.00 am tomorrow (08), the RDA said.","Sun, 07 Dec 2025 19:53:45 +0530",5.17,kandy colombo road remain open 24 hours vehicles 4am tomorrow kandy colombo main road closed vehicular traffic pahala kadugannawa remain open around clock vehicles 4 00 tomorrow 08 rda said,2,0.0,0.0,0.0,Neutral,transport,Normal,"Sri, Lanka, Force"
Ada Derana,Several access routes to Nuwara Eliya restored - District Secretary,http://www.adaderana.lk/news.php?nid=115704,"Several access routes to Nuwara Eliya have now been restored, according to Nuwara Eliya District Secretary Thushari Tennakoon. MORE..","Sun, 07 Dec 2025 19:48:43 +0530",5.17,several access routes nuwara eliya restored district secretary several access routes nuwara eliya restored according nuwara eliya district secretary thushari tennakoon,3,0.5859,0.0,0.5859,Opportunity,general,Emerging Event,"Sri, Lanka, Imf"
Ada Derana,Health officials warn of potential disease outbreaks following recent flooding,http://www.adaderana.lk/news.php?nid=115703,"Attention must be paid to communicable diseases that may arise following the recent disaster situation in the country, the Epidemiology Unit has announced. MORE..","Sun, 07 Dec 2025 19:48:42 +0530",5.17,health officials warn potential disease outbreaks following recent flooding attention must paid communicable diseases may arise following recent disaster situation country epidemiology unit announced,4,-0.6705,-10.0,-10.0,High Risk,"weather, health, sentiment",Normal,"Sri, Lanka, Cyclone"
Ada Derana,IMF to prioritise US$ 200 million Rapid Financing Instrument request made by Sri Lanka,http://www.adaderana.lk/news.php?nid=115702,The International Monetary Fund (IMF) has decided to prioritise the US$ 200 million Rapid Financing Instrument (RFI) request made by Sri Lanka in a bid to tackle the challenges the country is facing following the devastation caused by Cyclone Ditwah. MORE..,"Sun, 07 Dec 2025 19:20:07 +0530",5.17,imf prioritise us 200 million rapid financing instrument request made sri lanka international monetary fund imf decided prioritise us 200 million rapid financing instrument rfi request made sri lanka bid tackle challenges country facing following devastation caused cyclone ditwah,3,-0.3612,-9.0,-9.3612,High Risk,"weather, transport, energy, security, economic",Emerging Event,"Sri, Lanka, Imf"
Ada Derana,Ninth batch of disaster relief provided by UAE arrives in Sri Lanka,http://www.adaderana.lk/news.php?nid=115701,The ninth batch of disaster relief provided by the United Arab Emirates to Sri Lanka arrived today (07) at the Bandaranaike International Airport (BIA) aboard a special cargo aircraft belonging to the UAE Air Force. MORE..,"Sun, 07 Dec 2025 19:13:30 +0530",5.17,ninth batch disaster relief provided uae arrives sri lanka ninth batch disaster relief provided united arab emirates sri lanka arrived today 07 bandaranaike international airport bia aboard special cargo aircraft belonging uae air force,2,0.3818,-1.0,-0.6182000000000001,Risk,"weather, transport, security",Normal,"Sri, Lanka, Force"
Ada Derana,President calls on Atamasthanadipathi Thero,http://www.adaderana.lk/news.php?nid=115700,"President Anura Kumara Dissanayake called on the Atamasthanadhipathi, the Chief Sanghanayake of the Nuwara Kalaviya, Most Venerable Pallegama Hemarathana Nayake Thero, today (07), the President s Media Division stated. MORE..","Sun, 07 Dec 2025 18:53:22 +0530",5.17,president calls atamasthanadipathi thero president anura kumara dissanayake called atamasthanadhipathi chief sanghanayake nuwara kalaviya venerable pallegama hemarathana nayake thero today 07 president media division stated,3,0.0,0.0,0.0,Neutral,sentiment,Emerging Event,"Sri, Lanka, Imf"
Ada Derana,Superintendent injured during altercation within Boossa High Security Prison,http://www.adaderana.lk/news.php?nid=115699,A Superintendent of the Boossa High Security Prison has sustained injuries following an altercation within the prison premises. MORE..,"Sun, 07 Dec 2025 18:39:57 +0530",5.17,superintendent injured altercation within boossa high security prison superintendent boossa high security prison sustained injuries following altercation within prison premises,5,-0.8316,0.0,-0.8316,Risk,security,Normal,"Benin, Says, Police"
Ada Derana,"Showers predicted for Northern, North-Central, Eastern and Uva provinces",http://www.adaderana.lk/news.php?nid=115698,"The Northeast monsoon conditions are gradually establishing over the island, the Department of Meteorology stated. MORE..","Sun, 07 Dec 2025 18:30:37 +0530",5.17,showers predicted northern north central eastern uva provinces northeast monsoon conditions gradually establishing island department meteorology stated,4,0.0,0.0,0.0,Neutral,weather,Normal,"Sri, Lanka, Cyclone"
Ada Derana,Officials mull double track bridge to connect Peradeniya and Sarasavi Uyana stations,http://www.adaderana.lk/news.php?nid=115697,"The Department of Railways says it is focusing on developing the railway bridge over the Mahaweli River, located between Peradeniya and Sarasavi Uyana railway stations, as a double-track bridge. MORE..","Sun, 07 Dec 2025 17:51:04 +0530",5.17,officials mull double track bridge connect peradeniya sarasavi uyana stations department railways says focusing developing railway bridge mahaweli river located peradeniya sarasavi uyana railway stations double track bridge,3,0.0,0.0,0.0,Neutral,"transport, energy, sentiment",Emerging Event,"Sri, Lanka, Imf"
